"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C3","C_0603_1608Metric","12.5476mm","11.2268mm","12.5476mm","11.2268mm","13.3351mm","11.2268mm","T","180","10uf",
"C4","C_0402_1005Metric","13.0048mm","10.2616mm","13.0048mm","10.2616mm","13.4898mm","10.2616mm","T","180","0.1uf",
"C5","C_0402_1005Metric","17.3736mm","9.8552mm","17.3736mm","9.8552mm","17.8586mm","9.8552mm","T","180","0.1uf",
"C6","C_0402_1005Metric","17.3736mm","8.128mm","17.3736mm","8.128mm","16.8886mm","8.128mm","T","0","0.1uf",
"C7","C_0402_1005Metric","17.3736mm","7.2644mm","17.3736mm","7.2644mm","16.8886mm","7.2644mm","T","0","0.1uf",
"C8","C_0402_1005Metric","19.3548mm","8.9916mm","19.3548mm","8.9916mm","18.8698mm","8.9916mm","T","0","10pf",
"C9","C_0402_1005Metric","7.6708mm","7.5496mm","7.6708mm","7.5496mm","7.6708mm","8.0346mm","T","270","0.1uf",
"C10","C_0402_1005Metric","19.3548mm","4.3688mm","19.3548mm","4.3688mm","19.8398mm","4.3688mm","T","180","10pf",
"C11","C_0402_1005Metric","17.3736mm","5.7404mm","17.3736mm","5.7404mm","17.8586mm","5.7404mm","T","180","0.1uf",
"C12","C_0402_1005Metric","17.3736mm","2.54mm","17.3736mm","2.54mm","17.8586mm","2.54mm","T","180","0.1uf",
"C13","C_0402_1005Metric","7.6454mm","2.3622mm","7.6454mm","2.3622mm","7.6454mm","1.8772mm","T","90","0.1uf",
"C14","C_0402_1005Metric","8.128mm","0.9652mm","8.128mm","0.9652mm","7.643mm","0.9652mm","T","0","0.1uf",
"C15","C_0402_1005Metric","15.014mm","10.7476mm","15.014mm","10.7476mm","15.014mm","11.2326mm","T","270","TBD",
"C16","C_0402_1005Metric","15.9504mm","10.7672mm","15.9504mm","10.7672mm","15.9504mm","11.2522mm","T","270","TBD",
"D1","LED_0603_1608Metric","10.2616mm","12.5476mm","10.2616mm","12.5476mm","10.2616mm","13.3351mm","T","270","RED",
"D2","LED_0603_1608Metric","8.9916mm","12.5404mm","8.9916mm","12.5404mm","8.9916mm","13.3279mm","T","270","GREEN",
"D3","LED_0603_1608Metric","7.7216mm","12.5476mm","7.7216mm","12.5476mm","7.7216mm","13.3351mm","T","270","BLUE",
"D10","LED_0603_1608Metric","22.9672mm","6.375mm","22.9672mm","6.375mm","23.7547mm","6.375mm","T","180","LED",
